id	GSM2690788_con	GSM2690789_con	GSM2690790_con	GSM2690785_treat	GSM2690786_treat	GSM2690787_treat
CYP2C18	9.25570606510006	7.53131777337258	8.71126472404781	8.18658805609699	8.00792152560474	7.93646084939897
CYP2C19	7.37958464976691	6.32507062216678	7.1033931382236	6.60455009724096	7.01345462265347	6.60335152462339
CYP2C8	5.33847188892367	4.73749752513811	5.17864788560662	5.76035689105864	7.29006929821809	7.28840282836107
CYP2C9	2.67851155203307	2.82371871604712	3.26565872671758	4.04373728804715	7.19424461549064	4.2860512781799
CYP2D6|CYP2D7P1	6.25063236196186	5.39708521189261	6.64461325057778	6.96585203642012	7.27327669431615	5.96096762105118
CYP2E1	10.6185547727161	8.70110108308554	9.62735777441157	9.35855141886711	8.54344341014576	10.8459944293442
CYP2F1	6.7627227078788	5.10814039078445	7.12804174358601	5.37744719013264	5.63702415237379	6.81323929571468
CYP2G1P	4.93322564236286	4.47161650791656	4.92963534182886	4.43529995012574	4.2860512781799	4.88033553738967
CYP2J2	5.94774069753587	6.88279689373134	6.43919568029468	12.7115044035137	9.44062468392145	9.67660760062857
CYP2R1	8.15092020830391	7.05157794465816	9.13641047981214	7.58733297316613	7.52406170222549	8.91040834153308
CYP2S1	6.90643838344149	4.95698044785632	6.16928391836864	5.10139110847902	5.13947334289751	4.93676310210172
CYP2U1	6.49208420835474	7.74533104239755	6.00611641387867	6.50652112585361	6.01034485177197	6.29385935386966
CYP2W1	6.27658262724433	5.54140429542917	7.39210176932692	5.76035689105864	5.93177833020322	7.09670461395762
CYP39A1	7.03051415710623	7.9956457954926	5.8830549107993	6.70539680305611	5.09822614653391	5.59808338110894
CYP3A4	5.94774069753587	4.59909077678784	5.2811847336681	4.43529995012574	4.7735783203605	4.98665289729016
CYP3A43	0.858005546062754	2.82371871604712	1.40531527479954	2.28536036208505	1.88689164293019	1.62123870981386
CYP3A5	7.31091006326741	5.10139109681334	7.11040969320291	10.0138261729085	9.49061501659574	11.1949679302596
CYP3A7	5.3737706896561	4.08723025986503	5.05113922187955	4.59909078206784	5.37180311049252	5.83257336217514
CYP46A1	8.6912637518226	7.09320598731224	8.41458323862996	7.89752057724256	7.94099604611221	8.03962700069062
