id	GSM2674263_con	GSM2674264_con	GSM2674265_con	GSM2674266_con	GSM2674259_treat	GSM2674260_treat	GSM2674261_treat	GSM2674262_treat
hsa_circ_0001463	12.349310125	12.4426905	13.18569175	12.969191	15.0320635	12.591740125	12.63494975	14.648882625
hsa_circ_0000403	6.473897875	7.26968925	6.82326075	7.841893375	5.5691685625	5.64838075	6.06547975	5.59514875
hsa_circ_0001477	13.495729375	13.725702875	14.1700835	13.510121125	14.90758225	12.385824375	13.55781575	14.4756845
hsa_circ_0000405	5.02927475	5.112313	4.84318675	5.66356075	5.20451875	5.122697125	5.056535875	4.925032875
hsa_circ_0000407	12.148964125	12.866537625	9.896028125	12.67404325	6.004907625	6.37364475	10.1438613125	6.103907875
hsa_circ_0000409	5.723625875	6.3605635	6.497544375	6.5387745	7.785916875	8.580825625	7.0320051875	7.833053875
hsa_circ_0001500	9.7893563125	10.457186625	11.6738655	10.34829325	8.927166625	8.3512775	9.659943	8.841374875
hsa_circ_0000412	8.7508175	9.095946	9.532575	9.018152	7.4254453125	10.356375375	10.217827875	8.64601225
hsa_circ_0000413	7.7897506875	6.548127625	7.178830125	6.377159375	8.55114025	8.1064428125	7.829272125	8.609988875
hsa_circ_0000414	9.479178625	8.09396325	7.508584375	7.033360875	6.599054875	8.577254625	9.050403875	7.5529306875
hsa_circ_0000415	5.1659355625	5.172530375	4.99663625	5.8048270625	6.296062625	6.005260875	5.10093875	6.04215775
hsa_circ_0000416	9.3507775	8.972786625	8.016075375	8.092325625	10.7502805	10.998197875	10.7200505	11.1419485
hsa_circ_0000418	8.977594	7.87889625	8.809572625	6.14739175	7.304889125	10.623381875	9.721855375	10.1766380625
hsa_circ_0000421	5.34862525	5.233458375	5.391105875	5.942823	7.06111625	5.786802875	5.24554225	7.024897375
hsa_circ_0001545	6.1160741875	6.256469375	6.04215775	6.91431725	5.593126125	5.519450625	5.817746125	5.4647610625
hsa_circ_0001549	9.665102375	11.2112745	9.2076675	11.73741125	6.390572125	6.352393875	8.69876325	6.397832625
hsa_circ_0001563	5.7584605	5.55911525	5.391105875	5.630902875	7.54515175	6.657366875	6.1289071875	6.25572575
hsa_circ_0000426	5.876868875	5.585439125	6.432009625	5.319812875	8.81914025	6.1890275	6.414240625	7.9815586875
hsa_circ_0000428	4.863709875	5.112313	5.122697125	5.122697125	5.000465375	4.8517265	4.620366875	5.04283475
hsa_circ_0000432	9.6386190625	11.135815375	12.528856625	7.720686625	6.377159375	6.71935275	9.410502125	6.60566775
hsa_circ_0000433	7.196458875	7.387686	7.044525625	7.227912125	8.854439625	7.884019375	6.5516365	7.80147775
hsa_circ_0000435	10.160815875	11.531907	8.951580125	11.940811375	5.556436875	5.80721775	8.250224625	5.41180175
hsa_circ_0000440	6.325370125	7.118052875	7.33828875	7.21058525	5.8587829375	5.630902875	6.06547975	5.8708904375
hsa_circ_0001623	5.59514875	5.803839875	5.633850125	6.9985055	5.182293625	5.1735885625	5.350009375	5.182293625
hsa_circ_0001625	7.919031125	9.33743525	7.646913625	8.5279478125	6.682778125	5.261830375	6.536272875	5.544669875
hsa_circ_0000445	4.863709875	5.4013605	5.517748625	5.519450625	7.365287625	5.205739375	5.006700875	5.096421625
hsa_circ_0001664	5.890751125	6.004907625	5.92748525	6.207251375	6.603716125	6.181254625	6.3605635	6.441997125
hsa_circ_0000447	4.8879925	5.172530375	4.8943265	5.45552775	5.182293625	5.0098793125	4.9231405	5.05236575
hsa_circ_0000449	6.14222175	6.6922853125	7.1860244375	6.6405815	6.004907625	6.53500325	6.085011125	6.3289865
hsa_circ_0000450	8.0063095	9.095946	8.11718275	7.242752125	6.675712	6.555570125	7.441111125	6.094455375
hsa_circ_0000451	6.14222175	6.804466625	6.351252375	7.6992554375	6.96042575	6.849094125	5.913608875	6.411859625
hsa_circ_0000452	6.473897875	6.8480415	6.7550853125	8.148031875	7.150240125	6.96042575	6.3605635	6.76065725
hsa_circ_0001703	5.448929625	5.605992125	5.122697125	5.1639523125	5.677890375	5.438980625	5.709699875	5.278732125
hsa_circ_0001707	5.7584605	5.777194625	6.000693625	6.8056205	8.03985375	6.181254625	5.874561375	6.377159375
hsa_circ_0000457	7.483042375	7.289497375	7.605069875	7.59957475	10.870804625	7.2509126875	7.55653525	7.950262375
hsa_circ_0000458	10.313916125	9.33174575	8.679440125	9.52957125	10.539036	10.1541315	9.959201875	9.89716925
hsa_circ_0000459	7.7897506875	8.463448	8.8961809375	8.905978625	8.5872724375	7.26996925	7.64704075	7.450871125
hsa_circ_0000461	8.00195	7.765926625	7.289497375	8.51101875	7.54080975	7.783436125	8.1521795	7.6184315625
hsa_circ_0000464	6.917257875	7.08079925	6.32674925	6.5130465	8.846264	7.0769071875	7.113163125	7.829272125
hsa_circ_0001744	5.709699875	4.962912	5.391105875	5.726412	8.59629925	6.005260875	5.630902875	8.426282875
hsa_circ_0001745	6.6743690625	7.329897875	6.96042575	8.0571414375	5.757048375	6.005260875	6.47414425	6.023899875
hsa_circ_0000468	8.40893475	8.718835125	7.9702831875	9.991176875	7.898299625	7.32936925	8.07523475	7.181106375
hsa_circ_0000474	4.9231405	5.704788375	5.237366125	5.38846975	5.054407375	4.8279586875	5.10093875	4.9090875
hsa_circ_0000479	9.12542025	8.854814625	7.409484625	7.94375625	7.685264125	8.8857489375	9.9977584375	7.7159785
hsa_circ_0000480	13.350638875	14.131162375	14.346169875	13.145521	9.44585625	9.51068	11.972322	10.57859425
hsa_circ_0001828	15.49860725	15.90934575	15.529748875	14.827879375	12.5706135	12.171044125	14.98785425	13.921701
hsa_circ_0001829	10.8149544375	10.269150625	10.3589505	9.375878375	7.90178125	11.240657375	9.937117625	9.062653
hsa_circ_0000483	7.5838805	5.803839875	6.432009625	6.89074075	6.73705525	8.141641125	6.729120125	6.977595
hsa_circ_0000484	5.448929625	5.803839875	6.180627375	6.91431725	6.86227075	6.1254341875	6.085011125	6.401195
hsa_circ_0001853	5.448929625	5.515511375	5.45552775	6.07688025	11.504952625	5.3861676875	5.751831375	6.87628325
hsa_circ_0001854	7.578791375	8.401153125	8.404023375	9.119025	11.38225925	7.0081495	7.680440375	8.300909625
hsa_circ_0000489	11.859251125	10.437192375	10.897265	10.7727933125	11.29141425	10.990031125	11.931697625	10.65531575
hsa_circ_0000490	5.260651625	6.444663	5.59067025	5.2498263125	4.87133375	4.6296071875	5.10093875	5.182293625
